Car Name,Model Year,Mileage,Fuel Type,Engine Capacity,Transmission,Price
Chevrolet Onix Plus,2021,35000,Flex,1000,Manual,68500
Fiat Argo,2020,48000,Flex,1300,Manual,55000
Hyundai Creta,2022,22000,Flex,2000,Automatic,112000
Jeep Renegade,2021,41000,Flex,1800,Automatic,95000
Nissan Kicks,2023,15000,Flex,1600,Automatic,105000
Renault Kwid,2019,60000,Flex,1000,Manual,42000
Toyota Corolla,2020,30000,Hybrid,1800,Automatic,125000
Volkswagen T-Cross,2022,25000,Flex,1400,Automatic,118000
Volkswagen Gol,2018,75000,Flex,1000,Manual,45000
Honda Civic,2021,28000,Gasoline,1500,Automatic,135000
Fiat Strada,2023,12000,Flex,1300,Manual,92000
Toyota Hilux,2020,55000,Diesel,2800,Automatic,210000
Chevrolet Tracker,2022,19000,Flex,1200,Automatic,110000
Hyundai HB20,2021,34000,Flex,1000,Manual,62000
Ford Ka,2019,65000,Flex,1500,Manual,47000
Jeep Compass,2022,24000,Flex,1300,Automatic,132000
Volkswagen Nivus,2023,18000,Flex,1000,Automatic,104000
Fiat Mobi,2021,32000,Flex,1000,Manual,48000
Honda HR-V,2021,30000,Flex,1800,Automatic,108000
Toyota SW4,2020,65000,Diesel,2800,Automatic,245000
Chevrolet S10,2021,50000,Diesel,2800,Automatic,175000
Renault Duster,2021,42000,Flex,1600,Automatic,85000
Nissan Versa,2022,20000,Flex,1600,Automatic,89000
Hyundai Tucson,2021,38000,Flex,2000,Automatic,120000
Ford Ranger,2022,45000,Diesel,3200,Automatic,230000
Caoa Chery Tiggo 5X,2022,26000,Flex,1500,Automatic,93000
Peugeot 208,2022,29000,Flex,1000,Automatic,78000
Citroën C3,2023,15000,Flex,1000,Manual,65000
Mitsubishi L200,2020,60000,Diesel,2400,Automatic,185000
BMW Série 3,2021,22000,Gasoline,2000,Automatic,260000
